product,name,description,availability,sku,price,year,name_for_matching,collection,keshi,metal,category,pearl_type
chalif-cascade-chain-42cm,Chalif Cascade Chain Yellow Gold Necklace | Gold Chains | Paspaley,"Paspaley classic cascade chain in stainless steel with 750 yellow gold key ends, 3.4mm wide, length 42cm. For a simple and understated look, accentuate a single pearl or a Paspaley pearl clasp with this stainless steel cascade. NA",NA,C00C61F3442,590,2017,chalif-cascade-chain-42cm,Other,FALSE,Yellow gold,Accessories,Unsure
circle-pearl-strand,Circle Pearl Strand Bracelets | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl strand featuring thirty-four 13-14mm circle pearls.  44.5cm princess length strand identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.  GIA certificate available. The ultimate expression of femininity, this unique circle strand shows a woman's individuality. A unique clasp mechanism enables you to instantaneously personalise this strand with any one of Paspaley's jewelled interchangeable clasps. NA",NA,SCPC1314003,11800,2017,circle-pearl-strand,Strand,FALSE,Other,Strands,Circle
classic-bella-pendant-white-gold,Classic Bella White Gold Pendant Necklace | Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl pendant featuring one 13mm semi-round pearl set in 750 white gold. Chain available separately. This smart pearl pendant speaks of simplicity and modern style, perfect for everyday wear. NA",NA,C00P04WPS13,2980,2017,classic-bella-pendant-white-gold,Other,FALSE,White gold,Necklaces And Pendants,Round
classic-circle-design-hook-earrings-white-gold,Classic White Gold Earrings | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl earrings featuring two 11mm circle pearls set in 750 white gold with white diamonds. Unique circle pearls dangle from a simple setting with a touch of sparkle for an elegant appeal. These earrings are as beautiful as they are practical, designed with a hook tail that flicks away from the face for ultimate comfort. NA",NA,C00E26WPC11,2150,2017,classic-circle-design-hook-earrings-white-gold,Other,FALSE,White gold,Earrings,Circle
classic-circle-horse-shoe-earrings,Classic Yellow Gold Earrings | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl earrings featuring two 12mm circle pearls set in 750 yellow gold. Worn with your favourite corporate outfit or with your much loved jeans, these earrings add the finishing touch. Embrace the versatility of this design and remove the glowing circle pearls to reveal simple yellow gold hoops. NA",NA,C00E31YPC12,2380,2017,classic-circle-horse-shoe-earrings,Other,FALSE,Yellow gold,Earrings,Circle
classic-cufflinks-white-gold,Classic White Gold Cufflinks | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl cufflinks featuring two 12mm keshi pearls set in 750 white gold. The raw shape of these keshi pearls adds a stylish masculine touch as their luminosity reflects the colour of the cuffs on which they are worn. Choose white gold for a modern look. NA,NA,C00A01WKB12,2780,2017,classic-cufflinks-white-gold,Other,TRUE,White gold,Accessories,Unsure
classic-cufflinks-yellow-gold,Classic Yellow Gold Cufflinks | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl cufflinks featuring two 12mm keshi pearls set in 750 yellow gold. The raw shape of these keshi pearls adds a stylish masculine touch as their luminosity reflects the colour of the cuffs on which they are worn. Choose yellow gold for a time-honoured look. NA,NA,C00A01YKB12,2780,2017,classic-cufflinks-yellow-gold,Other,TRUE,Yellow gold,Accessories,Unsure
classic-dress-studs-white-gold,Classic White Gold Dress Studs | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl dress studs featuring four 8mm keshi pearls set in 750 white gold. A black tie occasion calls for a sleek and sophisticated look. Add these Paspaley dress studs as the finishing touch to a crisp white dress shirt. NA,NA,C00A04WKQ08,2280,2017,classic-dress-studs-white-gold,Other,TRUE,White gold,Other,Unsure
classic-grace-pendant,Classic Grace Pendant Necklace | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl pendant featuring one 14mm round pearl set in 750 yellow gold with one white diamond, total 0.25 carats. A perfectly round pearl complemented by a single sparkling diamond creates a distinctive touch of glamour for a simply elegant look. NA",NA,C00P28YPR14,5480,2017,classic-grace-pendant,Other,FALSE,Yellow gold,Necklaces And Pendants,Round
classic-horse-shoe-earrings-white-gold,Classic White Gold Hoop Earrings | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl earrings featuring two 11mm oval pearls set in 750 white gold. Worn with your favourite corporate outfit or with your much loved jeans, these earrings add the finishing touch. Embrace the versatility of this design and remove the glowing pearls to reveal simple white gold hoops. NA",NA,C00E31WPO11,3580,2017,classic-horse-shoe-earrings-white-gold,Other,FALSE,White gold,Earrings,Oval
classic-horse-shoe-earrings,Classic Gold Horseshoe Earrings | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl earrings featuring two 11mm oval pearls set in 750 yellow gold. Worn with your favourite corporate outfit or with your much loved jeans, these earrings add the finishing touch. Embrace the versatility of this design and remove the glowing pearls to reveal simple yellow gold hoops. NA",NA,C00E31YPO11,3580,2017,classic-horse-shoe-earrings,Other,FALSE,Yellow gold,Earrings,Oval
classic-oval-shepherd-hook-earrings,Classic Shepherd Hook Earrings | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl earrings featuring two 10mm oval pearls set in 750 white gold. This simple shepherd hook design featuring soft oval pearls. This is a wonderful weekend or work accessory for minimalist style. NA,NA,C00E42WPO10,2780,2017,classic-oval-shepherd-hook-earrings,Other,FALSE,White gold,Earrings,Oval
classic-ring-white-gold,Classic Diamond Ring | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl ring featuring one 11mm button pearl set in 750 white gold with white diamonds. Ring size 55, resize options available. Add a little luxury to your everyday look with this modern white gold and button pearl ring. Softly sparkling diamonds seamlessly set enhance the pearl's natural beauty. NA",NA,C00R14WPB11,2680,2017,classic-ring-white-gold,Other,FALSE,White gold,Rings,Button
classic-ring-yellow-gold,Classic Pearl & Diamond Gold Ring | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl ring featuring one 11mm button pearl set in 750 yellow gold with white diamonds. Ring size 55, resize options available. Add a little luxury to your everyday look with this warm yellow gold and button pearl ring. Softly sparkling diamonds seamlessly set in gold enhance the pearl's natural beauty. NA",NA,C00R14YPB11,2680,2017,classic-ring-yellow-gold,Other,FALSE,Yellow gold,Rings,Button
classic-semi-round-horse-shoe-earrings-rose-gold,Classic Rose Gold Pearl Earrings | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl earrings featuring two 12mm semi-round pearls set in 750 rose gold. Worn with your favourite corporate outfit or with your much loved jeans, these earrings add the finishing touch. Embrace the versatility of this design and remove the beautiful perfect semi-round pearls to reveal simple yellow gold hoops. NA",NA,C00E31RPS12,4680,2017,classic-semi-round-horse-shoe-earrings-rose-gold,Other,FALSE,Rose gold,Earrings,Round
classic-shepherd-hook-earrings-yellow-gold,Classic Pearl Gold Hook Earrings | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl earrings featuring two 11mm circle pearls set in 750 yellow gold. This simple shepherd hook design is a wonderful weekend or work accessory for minimalist style. NA,NA,C00E42YPC11,1280,2017,classic-shepherd-hook-earrings-yellow-gold,Other,FALSE,Yellow gold,Earrings,Circle
classic-shepherd-hook-earrings,Classic White Gold Hook Earrings | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl earrings featuring two 11mm circle pearls set in 750 white gold. This simple shepherd hook design is a wonderful weekend or work accessory for minimalist style. NA,NA,C00E42WPC11,1280,2017,classic-shepherd-hook-earrings,Other,FALSE,White gold,Earrings,Circle
classic-tie-pin,Classic White Gold Tie Pin | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl tie pin featuring one 11mm keshi pearl set in 750 white gold. A sharp alternative to a tie bar, this statement tie pin exudes class and refinement suitable for daily office wear or special occasions. NA",NA,C00A06WPB11,1380,2017,classic-tie-pin,Other,TRUE,White gold,Accessories,Unsure
design-hook-earrings-white-gold,Diamond White Gold Earrings | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl earrings featuring two 12mm circle pearls set in 750 white gold. Understated elegance fused with ultimate comfort for daily wear. These earrings are as practical as they are beautiful, designed so that the hook tails flick away from the face, while featured circle pearls add a touch of character. NA",NA,C00E27WPC12,1650,2017,design-hook-earrings-white-gold,Other,FALSE,White gold,Earrings,Circle
design-hook-earrings-yellow-gold,Diamond Gold Pearl Earrings | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl earrings featuring two 12mm circle pearls set in 750 yellow gold. Understated elegance fused with ultimate comfort for daily wear. These earrings are as practical as they are beautiful, designed so that the hook tails flick away from the face, while featured circle pearls add a touch of character. NA",NA,C00E27YPC12,1650,2017,design-hook-earrings-yellow-gold,Other,FALSE,Yellow gold,Earrings,Circle
dew-drop-earrings,Dew Drop Platinum Pearl Earrings | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl earrings featuring two 11mm round pearls set in 950 platinum with four white diamonds, total 0.40 carats. Add feminine chic to your jewellery box with these drop earrings featuring luminous round pearls that appear to delicately float on a fine chain. NA",NA,K08E08PPR11,6980,2017,dew-drop-earrings,Other,FALSE,Platinum,Earrings,Round
dew-drop-necklace,Dew Drop Platinum Pearl Necklace | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl necklace featuring twenty-three 5-10mm keshi pearls set in 950 platinum with fifty-six white diamonds, total 1.23 carats. Sheer elegance. Luminous keshi pearls delicately scattered on a fine platinum chain create a fluid design for the ultimate feminine appeal. Perfect for the woman whose style is delicate sophistication. NA",NA,K08N10PKQ05,16800,2017,dew-drop-necklace,Other,TRUE,Platinum,Necklaces And Pendants,Unsure
diamond-design-hook-earrings-white-gold,Diamond White Gold Pearl Earrings | South Sea Pearls | Paspaley,"Paspaley Australian South Sea pearl earrings featuring two 10mm oval pearls set in 750 white gold with white diamonds. Soft oval pearls dangle from a simple setting with a touch of sparkle for an elegant appeal. These earrings are as beautiful as they are practical, designed with a hook tail that flicks away from the face for ultimate comfort. NA",NA,C00E26WPO10,3650,2017,diamond-design-hook-earrings-white-gold,Other,FALSE,White gold,Earrings,Oval
diamond-design-hook-earrings-yellow-gold,Diamond Gold Pearl Earrings | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl earrings featuring two 10mm oval pearls set in 750 yellow gold with white diamonds. Soft oval pearls dangle from a simple setting with a touch of sparkle for elegant appeal. These earrings are as practical as they are beautiful, designed with a hook tail that flicks away from the face for ultimate comfort. NA",NA,C00E26YPO10,3650,2017,diamond-design-hook-earrings-yellow-gold,Other,FALSE,Yellow gold,Earrings,Oval
diamond-horse-shoe-earrings-white-gold,White Gold Diamond Horseshoe Pearl Earrings | Jewellery | Paspaley,Paspaley Australian South Sea pearl earrings featuring two 11mm oval pearls set in 750 white gold with white diamonds. Inject style and glamour into everyday with these sparkling earrings that can be worn as they are or remove the lustrous oval pearl to reveal a dazzling diamond hoop. NA,NA,C00E32WPO11,4880,2017,diamond-horse-shoe-earrings-white-gold,Other,FALSE,White gold,Earrings,Oval
diamond-horse-shoe-earrings-yellow-gold,Gold Diamond Horseshoe Pearl Earrings | South Sea Pearls | Paspaley,Paspaley Australian South Sea pearl earrings featuring two 11mm oval pearls set in 750 yellow gold with white diamonds. Inject style and glamour into everyday with these sparkling earrings that can be worn as they are or remove the lustrous oval pearl to reveal a dazzling diamond hoop. NA,NA,C00E32YPO11,4880,2017,diamond-horse-shoe-earrings-yellow-gold,Other,FALSE,Yellow gold,Earrings,Oval
dolce-earrings-white-gold,White Gold Dolce Pearl Earrings | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl earrings featuring two 13mm round pearls set in 750 white gold. The unique short drop of these earrings enhance the beautiful symmetry of the round pearls. Team them with your round pearl strand for a formal look or with a simple charm bracelet for casual appeal. NA,NA,G06E09WPR13,6280,2017,dolce-earrings-white-gold,Other,FALSE,White gold,Earrings,Round
dolce-earrings-yellow-gold,Yellow Gold Dolce Pearl Earrings | South Sea Pearl Jewellery | Paspaley,Paspaley Australian South Sea pearl earrings featuring two 13mm round pearls set in 750 yellow gold. The unique short drop of these earrings enhance the beautiful symmetry of the round pearls. Team them with your round pearl strand for a formal look or with a simple charm bracelet for casual appeal. NA,NA,G06E09YPR13,6280,2017,dolce-earrings-yellow-gold,Other,FALSE,Yellow gold,Earrings,Round
dolce-pendant-white-gold,White Gold Dolce Pearl Necklace | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl pendant featuring one 14mm drop pearl set in 750 white gold. Chain available separately. The graceful pendant appears fluid as it suspends this drop-like pearl, creating a modern and feminine look. NA",NA,G06P10WPD14,3580,2017,dolce-pendant-white-gold,Other,FALSE,White gold,Necklaces And Pendants,Drop
dolce-pendant-yellow-gold,Gold Dolce Pendant Pearl Necklace | South Sea Pearls | Paspaley,"Paspaley Australian South Sea pearl pendant featuring one 14mm drop pearl set in 750 yellow gold. Chain available separately. The graceful pendant appears fluid as it suspends this drop-like pearl, creating a modern and feminine look. NA",NA,G06P10YPD14,3580,2017,dolce-pendant-yellow-gold,Other,FALSE,Yellow gold,Necklaces And Pendants,Drop
dolce-ring,Pearl Dolce Gold Ring | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl ring featuring one 11mm drop pearl set in 750 yellow gold with forty-two white diamonds, total 0.20 carats. Ring size 55, resize options available. Subtly seductive, this ring coils around the finger as dazzling diamonds flow from the drop pearl with avant-garde flair. NA",NA,G06R02YPD11,4980,2017,dolce-ring,Other,FALSE,Yellow gold,Rings,Drop
embrace-the-sea-ring-white-gold,Embrace the Sea White Gold Ring | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl ring featuring one 10mm keshi pearl set in 750 white gold with sixteen white diamonds, total 0.29 carats. Ring size 55, resize options available. A delicate balance of simplicity and eloquence, this design embraces the sea to evoke life beneath the waves. Loved by women of all ages. NA",NA,C00R12WKQ10,3780,2017,embrace-the-sea-ring-white-gold,Other,TRUE,White gold,Rings,Unsure
embrace-the-sea-ring-yellow-gold,Embrace the Sea Gold Pearl Ring | South Sea Pearl Jewellery | Paspaley,"Paspaley Australian South Sea pearl ring featuring one 10mm keshi pearl set in 750 yellow gold with sixteen white diamonds, total 0.29 carats. Ring size 55, resize options available. A delicate balance of simplicity and eloquence, this design embraces the sea to evoke life beneath the waves. Loved by women of all ages. NA",NA,C00R12YKQ10,3780,2017,embrace-the-sea-ring-yellow-gold,Other,TRUE,Yellow gold,Rings,Unsure
fine-mirror-trace-chain-42cm-white-gold,Fine Mirror Trace White Gold Chain | Gold Chain Necklace | Paspaley,"Paspaley classic mirror trace chain in 750 white gold, 1.6mm wide, length 42cm. This fine classic white gold chain with its mirror-like finish and feature diamond clasp is the ideal accessory for a small to medium sized pendant. NA",NA,C00C00W1642,690,2017,fine-mirror-trace-chain-42cm-white-gold,Other,FALSE,White gold,Accessories,Unsure
fine-mirror-trace-chain-42cm-yellow-gold,Fine Mirror Trace Yellow Gold Chain | Gold Chain Necklace | Paspaley,"Paspaley classic mirror trace chain in 750 yellow gold, 1.6mm wide, length 42cm. This fine classic yellow gold chain with its mirror-like finish and feature diamond clasp is the ideal accessory for a small to medium sized pendant. NA",NA,C00C00Y1642,690,2017,fine-mirror-trace-chain-42cm-yellow-gold,Other,FALSE,Yellow gold,Accessories,Unsure
fine-mirror-trace-chain-45cm-rose-gold,Fine Mirror Trace Rose Gold Chain | Gold Chain Necklace | Paspaley,"Paspaley classic mirror trace chain in 750 rose gold, 1.6mm wide, length 45cm. This fine classic rose gold chain with its mirror-like finish and feature diamond clasp is the ideal accessory for a small to medium sized pendant. NA",NA,C00C00R1645,740,2017,fine-mirror-trace-chain-45cm-rose-gold,Other,FALSE,Rose gold,Accessories,Unsure
fine-mirror-trace-chain-45cm-white-gold,Fine Mirror Trace White Gold Chain 45cm | Gold Chain Necklace,"Paspaley classic mirror trace chain in 750 white gold, 1.6mm wide, length 45cm. This fine classic white gold chain with its mirror-like finish and feature diamond clasp is the ideal accessory for a small to medium sized pendant. NA",NA,C00C00W1645,740,2017,fine-mirror-trace-chain-45cm-white-gold,Other,FALSE,White gold,Accessories,Unsure
fine-mirror-trace-chain-45cm-yellow-gold,Fine Mirror Trace Yellow Gold Chain 45cm | Gold Chain Necklace,"Paspaley classic mirror trace chain in 750 yellow gold, 1.6mm wide, length 45cm. This fine classic yellow gold chain with its mirror-like finish and feature diamond clasp is the ideal accessory for a small to medium sized pendant. NA",NA,C00C00Y1645,740,2017,fine-mirror-trace-chain-45cm-yellow-gold,Other,FALSE,Yellow gold,Accessories,Unsure
fine-nitrile-cord-42cm-white-gold-bayonet,Fine Nitrile Cord-42cm,"Paspaley classic nitrile cord with 750 white gold bayonet clasp, 3mm wide, length 42cm. A bold alternative to a classic chain, this nitrile cord, featuring a white gold bayonet clasp, will transform a traditional pendant into a contemporary necklace that is perfect for day wear. NA",NA,C00C55W3042,390,2017,fine-nitrile-cord-42cm-white-gold-bayonet,Other,FALSE,White gold,Accessories,Unsure
fine-nitrile-cord-42cm-white-gold,White Gold Fine Nitrile Cord 42cm | Gold Chain Necklace | Paspaley,"Paspaley classic nitrile cord with 750 white gold key ends, 3mm wide, length 42cm. A must-have accessory, this nitrile cord is perfectly finished with white gold key ends and can be worn with a single pearl for a smart casual look. NA",NA,C00C50W3042,390,2017,fine-nitrile-cord-42cm-white-gold,Other,FALSE,White gold,Accessories,Unsure
fine-nitrile-cord-42cm-yellow-gold-bayonet,Fine Nitrile Cord-42cm,"Paspaley classic nitrile cord with 750 yellow gold bayonet clasp, 3mm wide, length 42cm. A bold alternative to a classic chain, this nitrile cord, featuring a yellow gold bayonet clasp, will transform a traditional pendant into a contemporary necklace that is perfect for day wear. NA",NA,C00C55Y3042,390,2017,fine-nitrile-cord-42cm-yellow-gold-bayonet,Other,FALSE,Yellow gold,Accessories,Unsure
fine-nitrile-cord-42cm-yellow-gold,Yellow Gold Fine Nitrile Cord 42cm | Gold Chain Necklace | Paspaley,"Paspaley classic nitrile cord with 750 yellow gold key ends, 3mm wide, length 42cm. A must-have accessory, this nitrile cord is perfectly finished with yellow gold key ends and can be worn with a single pearl for a smart casual look. NA",NA,C00C50Y3042,390,2017,fine-nitrile-cord-42cm-yellow-gold,Other,FALSE,Yellow gold,Accessories,Unsure
fine-nitrile-cord-45cm-white-gold-bayonet,Fine Nitrile Cord-45cm,"Paspaley classic nitrile cord with 750 white gold bayonet clasp, 3mm wide, length 45cm. A bold alternative to a classic chain, this nitrile cord, featuring a white gold bayonet clasp, will transform a traditional pendant into a contemporary necklace that is perfect for day wear. NA",NA,C00C55W3045,390,2017,fine-nitrile-cord-45cm-white-gold-bayonet,Other,FALSE,White gold,Accessories,Unsure
fine-nitrile-cord-45cm-white-gold,Fine Nitrile Cord-45cm,"Paspaley classic nitrile cord with 750 white gold key ends, 3mm wide, length 45cm. A must-have accessory, this nitrile cord is perfectly finished with white gold key ends and can be worn with a single pearl for a smart casual look. NA",NA,C00C50W3045,390,2017,fine-nitrile-cord-45cm-white-gold,Other,FALSE,White gold,Accessories,Unsure
fine-nitrile-cord-45cm-yellow-gold-bayonet,Fine Nitrile Cord-45cm,"Paspaley classic nitrile cord with 750 yellow gold bayonet clasp, 3mm wide, length 45cm. A bold alternative to a classic chain, this nitrile cord, featuring a yellow gold bayonet clasp, will transform a traditional pendant into a contemporary necklace that is perfect for day wear. NA",NA,C00C55Y3045,390,2017,fine-nitrile-cord-45cm-yellow-gold-bayonet,Other,FALSE,Yellow gold,Accessories,Unsure
fine-nitrile-cord-45cm-yellow-gold,Fine Nitrile Cord-45cm,"Paspaley classic nitrile cord with 750 yellow gold key ends, 3mm wide, length 45cm. A must-have accessory, this nitrile cord is perfectly finished with yellow gold key ends and can be worn with a single pearl for a smart casual look. NA",NA,C00C50Y3045,390,2017,fine-nitrile-cord-45cm-yellow-gold,Other,FALSE,Yellow gold,Accessories,Unsure
grace-earrings-yellow-gold,Grace Earrings,"Paspaley Australian South Sea pearl earrings featuring two 11mm round pearls set in 750 yellow gold with two white diamonds, total 0.20 carats. These luxurious earrings have a timeless appeal. Luminous round pearls are accentuated by sparkling diamonds on a simple hook crafted from yellow gold for a subtle touch of glamour. NA",NA,C00E44YPR11,5980,2017,grace-earrings-yellow-gold,Other,FALSE,Yellow gold,Earrings,Round
grace-earrings,Grace Earrings,"Paspaley Australian South Sea pearl earrings featuring two 11mm round pearls set in 750 white gold with two white diamonds, total 0.20 carats. These luxurious earrings have a timeless appeal. Luminous round pearls are accentuated by sparkling diamonds on a simple hook crafted from white gold for a subtle touch of glamour. NA",NA,C00E44WPR11,5980,2017,grace-earrings,Other,FALSE,White gold,Earrings,Round
grace-pendant-white-gold,Grace Pendant,"Paspaley Australian South Sea pearl pendant featuring one 12mm round pearl set in 750 white gold with one white diamond, total 0.25 carats. Chain available separately. A perfectly round pearl complemented by a single sparkling diamond creates a distinctive touch of glamour for a simply elegant look. NA",NA,C00P28WPR12,4580,2017,grace-pendant-white-gold,Other,FALSE,White gold,Necklaces And Pendants,Round
grace-pendant-yellow-gold,Grace Pendant,"Paspaley Australian South Sea pearl pendant featuring one 12mm round pearl set in 750 yellow gold with one white diamond, total 0.25 carats. Chain available separately. A perfectly round pearl complemented by a single sparkling diamond creates a distinctive touch of glamour for a simply elegant look. NA",NA,C00P28YPR12,4580,2017,grace-pendant-yellow-gold,Other,FALSE,Yellow gold,Necklaces And Pendants,Round
halo-pendant-white-gold,Halo Pendant,"Paspaley Australian South Sea pearl pendant featuring one, 14mm round pearl set in 750 white gold with eighteen white diamonds, total 0.39 carats. Chain available separately. The clean uncomplicated style of this pendant works in balance with the bold volume of the pearl, while the removable channel set gold coin adds versatility and makes this pendant the perfect adornment for minimalist style. NA",NA,C12P01WPR14,6450,2017,halo-pendant-white-gold,Other,FALSE,White gold,Necklaces And Pendants,Round
halo-pendant-yellow-gold,Halo Pendant,"Paspaley Australian South Sea pearl pendant featuring one, 14mm round pearl set in 750 yellow gold with eighteen white diamonds, total 0.39 carats. Chain available separately. The clean uncomplicated style of this pendant works in balance with the bold volume of the pearl, while the removable channel set gold coin adds versatility and makes this pendant the perfect adornment for minimalist style. NA",NA,C12P01YPR14,6450,2017,halo-pendant-yellow-gold,Other,FALSE,Yellow gold,Necklaces And Pendants,Round
julia-ring-white-gold,Julia Ring,"Paspaley Australian South Sea pearl ring featuring one 10mm keshi pearl set in 750 white gold with white diamonds. Ring size 54, resize options available. This smart and tasteful design is the epitome of understated style for everyday wear. NA",NA,C00R02WKQ10,1680,2017,julia-ring-white-gold,Other,TRUE,White gold,Rings,Unsure
julia-ring-yellow-gold,Julia Ring,"Paspaley Australian South Sea pearl ring featuring one 9mm keshi pearl set in 750 yellow gold with white diamonds. Ring size 55, resize options available. This smart and tasteful design is the epitome of understated style for everyday wear. NA",NA,C00R02YKQ09,1680,2017,julia-ring-yellow-gold,Other,TRUE,Yellow gold,Rings,Unsure
